URBS_SUBCATCHID,URBS_MATCHID,ROWS_MATCHID,INCLUDE_MATCH_IN_URBS,MATCHING_ORDER,LAT,LONG,MATCHING_ADVICE
upper_murray_mittaToDartmouth,JOKERS_CK,R_401216A,FALSE,1,0,0,Always match with caution
upper_murray_mittaToDartmouth,HINNOMUNJIE,R_401203A,FALSE,2,0,0,Always match with caution
upper_murray_mittaToDartmouth,GIBBO_PK,R_401217A,FALSE,3,0,0,Always match with caution
upper_murray_mittaToTallandoon,COLEMANS,R_401211A,FALSE,4,0,0,Always match with caution
upper_murray_mittaToTallandoon,LIGHTNING_CK,R_401231A,FALSE,5,0,0,Always match with caution
upper_murray_mittaToTallandoon,GRANITE_FLAT,R_401210A,FALSE,6,0,0,Always match with caution
upper_murray_ToJingellic,BIGGARA,R_401012,FALSE,7,0,0,Always match with caution
upper_murray_ToJingellic,BRINGENBONG,R_401549,FALSE,8,0,0,Always match with caution
upper_murray_ToJingellic,MARAGLE,R_401009,FALSE,9,0,0,Always match with caution
upper_murray_ToJingellic,PINEGROVE,R_401014,FALSE,10,0,0,Always match with caution
upper_murray_ToJingellic,BERRINGAMA,R_401208A,FALSE,11,0,0,Always match with caution
upper_murray_ToJingellic,CUDGEWA_NORTH,R_401229A,FALSE,12,0,0,Always match with caution
upper_murray_ToJingellic,R_JINGELLIC,R_401201A,FALSE,13,0,0,Always match with caution
upper_murray_ToHumeDam,CK_JINGELLIC,R_401013,FALSE,14,0,0,Always match with caution
upper_murray_ToHumeDam,YAMBLA,R_401015,FALSE,15,0,0,Always match with caution
upper_murray_ToHumeDam,MCCALLUMS,R_401220B,FALSE,16,0,0,Always match with caution
upper_murray_mittaToTallandoon; upper_murray_ToHumeDam,TALLANDOON,R_401204A,FALSE,17,0,0,Always match with caution
upper_murray_belowHume,HEYWOODS,R_409016,TRUE,18,0,0,Always match with caution
upper_murray_belowHume,KIEWA,R_402222A,FALSE,19,0,0,Always match with caution
upper_murray_belowHume,BANDIANA,R_402205A,FALSE,20,0,0,Always match with caution
upper_murray_belowHume,DOCTORS_PT,R_409017,FALSE,21,0,0,Always match with caution
upper_murray_belowHume,ALBURY,R_409001,FALSE,22,0,0,Always match with caution
